HEIGHT,BRANCHING-FACTOR,APPROX,ALPHABETA(NO-REORDERING),ALPHABETA(REORDERING),PVS(NO-REORDERING),PVS(REORDERING)
4,3,0,76,55,107,54
4,3,50,80,61,111,58
4,3,100,74,57,100,56
4,3,150,75,56,104,55
4,3,200,72,60,95,57
4,3,250,72,57,95,54
4,3,300,75,58,108,56
4,6,0,425,325,507,258
4,6,50,488,322,617,261
4,6,100,488,367,597,286
4,6,150,434,319,542,258
4,6,200,438,349,479,282
4,6,250,461,332,565,272
4,6,300,501,367,612,286
4,9,0,1250,870,1415,638
4,9,50,1349,945,1581,678
4,9,100,1284,859,1529,654
4,9,150,1279,878,1437,637
4,9,200,1396,975,1542,676
4,9,250,1247,962,1348,685
4,9,300,1268,940,1427,701
4,12,0,2658,1855,2671,1245
4,12,50,2819,1900,3051,1299
4,12,100,2651,1876,2689,1256
4,12,150,2498,1831,2624,1255
4,12,200,2604,1797,2849,1268
4,12,250,2801,2037,2937,1387
4,12,300,2608,1895,2707,1285
4,15,0,4758,3055,5170,1999
4,15,50,4852,3345,5253,2161
4,15,100,4573,3017,4812,2037
4,15,150,4549,3159,4732,2088
4,15,200,4837,3325,4956,2251
4,15,250,4413,3374,4256,2162
4,15,300,4887,3365,4955,2184
5,3,0,179,136,260,115
5,3,50,174,136,225,118
5,3,100,173,136,230,117
5,3,150,167,135,206,117
5,3,200,171,131,239,112
5,3,250,174,133,227,115
5,3,300,181,138,252,119
5,6,0,1873,1309,2242,829
5,6,50,1756,1310,1945,819
5,6,100,1599,1249,1664,812
5,6,150,1841,1426,2065,942
5,6,200,1770,1276,1969,878
5,6,250,1718,1382,1836,940
5,6,300,1692,1334,1770,877
5,9,0,6213,4645,5816,2643
5,9,50,5875,4385,5263,2602
5,9,100,6380,4780,6292,2749
5,9,150,6113,4646,5699,2556
5,9,200,6170,4789,5684,2742
5,9,250,6668,5042,6018,2637
5,9,300,6049,4710,5497,2692
5,12,0,15138,11052,14359,5714
5,12,50,14987,11577,12606,5798
5,12,100,14192,10820,12468,5457
5,12,150,15214,11695,13538,6399
5,12,200,15435,11761,13333,5876
5,12,250,13900,10888,12395,5897
5,12,300,16280,11225,14949,5751
5,15,0,27218,21664,21483,10294
5,15,50,30383,23719,25170,10919
5,15,100,28488,21800,23595,11348
5,15,150,29149,23127,23733,11215
5,15,200,26785,21458,20895,10838
5,15,250,26247,20909,20527,10387
5,15,300,30071,23180,24686,10875
6,3,0,440,311,622,246
6,3,50,403,300,511,231
6,3,100,402,297,538,236
6,3,150,422,330,587,253
6,3,200,412,304,538,246
6,3,250,408,321,525,249
6,3,300,392,300,537,244
6,6,0,5651,4127,5769,2517
6,6,50,6340,4155,7093,2486
6,6,100,5915,4074,6731,2487
6,6,150,6052,4212,6469,2523
6,6,200,5671,4252,5906,2531
6,6,250,5579,4290,5736,2789
6,6,300,6382,4495,7093,2719
6,9,0,26444,18359,26161,9524
6,9,50,27228,20216,23177,10274
6,9,100,28537,20598,28346,10445
6,9,150,28235,18663,26862,9715
6,9,200,27230,19620,25478,10743
6,9,250,26609,19156,25167,10467
6,9,300,24421,17133,23155,9574
6,12,0,72965,51548,62062,25239
6,12,50,71918,48931,61743,23862
6,12,100,74519,47649,65996,23880
6,12,150,73156,51186,61289,24535
6,12,200,76209,52358,67966,25754
6,12,250,74706,52513,66879,25372
6,12,300,68694,51217,59452,25744
6,15,0,159296,119237,126931,52255
6,15,50,161442,115636,128043,51094
6,15,100,163539,115159,133928,53502
6,15,150,153518,119533,117625,53164
6,15,200,157771,115170,126836,54381
6,15,250,162298,118275,131515,54685
6,15,300,159382,115001,136246,54380
